Territorio,CostoPubblico,ContributoComunitario,2007,2008,2009,2010,2011
Piemonte,1076958,426119,29,6300,135163,120470,78276
Valle d'Aosta,48811,19524,1267,1899,3834,6340,5620
Lombardia,532000,210887,0,45085,44344,17319,59895
Liguria,530235,168145,931,2647,31014,24113,82124
P.A. Trento,64287,19286,103,529,6285,9604,8674
P.A. Bolzano,74918,26022,21,257,9335,5883,8063
Veneto,452688,207940,185,291,75453,26584,18044
Friuli Venezia Giulia,303001,74070,3970,7088,10612,5534,58509
Emilia Romagna,346920,128108,987,7418,19492,27113,43784
Toscana,1126652,338467,17233,57001,90469,86543,67659
Umbria,348116,149976,2040,4323,31980,24463,32331
Marche,288802,112907,563,745,38401,30314,19336
Lazio,743513,371756,1300,4082,8426,51665,127475
Abruzzo,345369,139760,4898,15423,16033,56254,49527
Molise,192519,70765,348,2600,18035,8975,18642
Sardegna ST 1,1701679,680672,3227,16581,263317,78844,115631
Totale,8176469,3144405,37102,172270,802191,580019,793590
