Territorio,CostoPubblico,ContributoComunitario,2007,2008,2009,2010,2011
Azioni di sistema,72000,28680,0,0,5985,7942,10600
Piemonte,1007852,397284,3,296,63945,171280,160126
Valle d'Aosta,82279,32912,71,923,3798,5931,11533
Lombardia,798000,338018,0,11904,52429,166942,126785
Liguria,395073,147619,0,594,17725,52623,46592
P.A. Trento,218570,61199,2921,11975,27875,37218,39211
P.A. Bolzano,160220,60745,0,9328,16747,19400,15049
Veneto,716698,349020,0,1256,101157,94144,41341
Friuli Venezia Giulia,319226,120356,409,24330,35190,32844,22100
Emilia Romagna,806490,295929,1336,52781,108263,113653,147076
Toscana,664686,313046,97,11970,64532,78083,76313
Umbria,230417,98984,1173,5186,26895,22904,16794
Marche,281551,111554,164,12312,18952,36593,43226
Lazio,736078,368039,6,0,39877,45680,65869
Abruzzo,316563,127720,114,1126,1549,27578,31335
Molise,102897,37665,34,5316,7106,7078,8934
Sardegna ST 1,729291,291716,7737,25023,92880,99775,77464
Totale,7637892,3180485,14063,174319,684904,1019667,940348
