ID,Titolo,Sottotitolo
084,Rifiuti urbani smaltiti in discarica  per abitante,Rifiuti urbani smaltiti in discarica per abitante (in kg)
232,Percentuale di rifiuti urbani smaltiti in discarica,Rifiuti urbani smaltiti in discarica sui rifiuti urbani prodotti valore percentuale
083,Rifiuti urbani raccolti,Rifiuti urbani raccolti per abitante (in kg)
262,Zone a Protezione Speciale (ZPS),Superficie delle Zone a Protezione Speciale (ZPS) sulla superficie Regionale (valore in percentuale)
034,Principi attivi contenuti nei prodotti fitosanitari,Principi attivi contenuti nei prodotti fitosanitari per ettaro di SAU
009,Utilizzo delle risorse idriche per il consumo umano,Percentuale di acqua erogata sul totale dell'acqua immessa nelle reti di distribuzione comunale
052,Raccolta differenziata dei rifiuti urbani,Rifiuti urbani oggetto di raccolta differenziata sul totale dei rifiuti urbani
261,Siti di Importanza Comunitaria (SIC),Superficie dei Siti di Importanza Comunitaria (SIC) sulla superficie Regionale (valore in percentuale)
103,Inquinamento causato dai mezzi di trasporto,Emissioni di CO2 da trasporto stradale (tonnellate per abitante)
006,Irregolarità nella distribuzione dell'acqua,Famiglie che denunciano irregolarità nell'erogazione dell'acqua (%)
098,Nuove superfici boscate,
255,Superficie forestale percorsa dal fuoco,Superficie forestale percorsa dal fuoco sul totale della superficie forestale (%)
007,Coste non balneabili per inquinamento,Km di coste non balneabili per inquinamento su km di coste totali (%)
239,Superficie forestale,Superficie forestale boscata e non boscata in ettari
010,Popolazione regionale servita da impianti di depurazione completa delle acque reflue,Percentuale della popolazione dei comuni con il servizio di rete fognaria con depurazione completa dei reflui convogliati
008,Disponibilità di risorse idropotabili,Percentuale di acqua potabilizzata sul totale di acqua prelevata a scopo idropotabile
264,Aree terrestri protette,Superficie delle Aree Terrestri protette sulla superficie Regionale (valore in percentuale)
263,Rete Natura 2000,Superficie della Rete Natura 2000 sulla superficie Regionale (valore in percentuale)
011,Quota di popolazione equivalente servita da depurazione,Abitanti equivalenti serviti effettivi (AES) da impianti di depurazione delle acque reflue urbane con trattamento secondario e terziario sugli abitanti equivalenti totali della regione (in %)
253,Quota di popolazione equivalente urbana servita da depurazione,Abitanti equivalenti effettivi urbani serviti da impianti di depurazione delle acque reflue urbane con trattamento secondario e terziario sugli abitanti equivalenti Totali Urbani della regione (in %)
033,Elementi fertilizzanti usati in agricoltura,Elementi fertilizzanti semplici distribuiti per ettaro di SAU (quintali)
053,Quantità di frazione umida trattata in impianti di compostaggio per la produzione di compost di qualità,
