Month (in cumulative terms since 16th July 2012);Number of visitors (sessions);Number of unique visitors;Sessions from abroad;Number of page views;Number of downloads;Average time of visit (seconds, monthly date )
Mese  (in termini cumulati dal 16 luglio 2012);Numero di visitatori (sessioni);Numero visitatori unici;Numero visitatori esteri;Numero di pagine visualizzate;Numero di download;Durata sessione media (in secondi, dato mensile)
31/07/2012;14927;11369;1074;108734;;287
31/08/2012;21514;16331;1517;139432;;176
30/09/2012;38813;30048;2332;213844;;148
31/10/2012;63895;50107;3686;322537;;163
30/11/2012;86602;67681;4686;405086;;143
31/12/2012;103056;80714;5403;459490;;125
31/01/2013;130872;103252;6563;543553;;117
28/02/2013;156372;123961;7659;621187;;112
31/03/2013;182852;145120;8741;705167;;122
30/04/2013;204994;162896;9689;776791;;122
31/05/2013;231478;183966;10745;866960;;128
30/06/2013;257770;205409;11777;948570;;115
31/07/2013;282722;225589;12728;1031890;;117
31/08/2013;300110;239949;13621;1080969;;90
30/09/2013;327125;262092;14628;1168317;;125
31/10/2013;359145;288518;15784;1276068;;133
30/11/2013;388348;312412;16938;1369903;;124
31/12/2013;408529;328705;17777;1437590;;138
31/01/2014;437685;352688;18900;1527250;;126
28/02/2014;468250;377662;20291;1625298;;122
31/03/2014;498201;402247;21571;1712097;;108
30/04/2014;525393;424273;22875;1796156;;125
31/05/2014;557230;449550;24307;1920926;174;157
30/06/2014;583562;470557;25493;1999211;1466;119
31/07/2014;612347;493926;26726;2087871;2886;126
31/08/2014;631267;509634;27716;2140882;3424;104
30/09/2014;663586;536007;29123;2231711;4330;114
31/10/2014;698543;563502;30746;2344285;6145;145
30/11/2014;729417;587928;32000;2436607;7484;134
31/12/2014;753596;607083;33168;2510674;8671;127
31/01/2015;783552;630321;34471;2633347;9822;182
28/02/2015;811642;651817;35619;2734480;11316;161
31/03/2015;842157;675348;36816;2844059;13541;148
30/04/2015;868375;695305;37881;2936899;14275;156
31/05/2015;894157;715166;39129;3018513;15557;139
30/06/2015;917666;733640;40332;3089981;16049;128
31/07/2015;939785;750965;41674;3160245;17432;136
31/08/2015;954630;763049;42679;3206947;18160;123
30/09/2015;979471;782750;43868;3298412;19093;160
31/10/2015;1004920;802554;45243;3388148;20229;147
30/11/2015;1030981;822290;46530;3501190;21629;182
31/12/2015;1054799;840163;47868;3606851;22682;193
31/01/2016;1082032;860936;49443;3706548;23857;174
29/02/2016;1109478;881557;51143;3816466;26376;179
31/03/2016;1135873;901247;52485;3911627;27927;161
30/04/2016;1160628;919714;53963;4003211;28757;177
31/05/2016;1186067;938767;55357;4102413;29847;173
30/06/2016;1204760;953094;56487;4171863;30531;162
31/07/2016;1222608;966910;57783;4231142;30926;152
31/08/2016;1234887;976813;58826;4268502;31256;130
30/09/2016;1253402;991050;60088;4343875;32320;183
31/10/2016;1270796;1003989;61492;4411248;33043;181
30/11/2016;1290981;1018603;63622;4506359;34263;239
31/12/2016;1311983;1033641;66849;4605972;34934;272
31/01/2017;1331839;1047830;68185;4683709;36009;214
28/02/2017;1352210;1062218;69867;4767160;37378;214
31/03/2017;1374482;1078216;71528;4852452;38426;199
30/04/2017;1390305;1089586;72652;4906441;39395;170
31/05/2017;1408226;1102264;73859;4971860;40062;187
30/06/2017;1423238;1113268;74995;5019150;41164;161
31/07/2017;1436460;1122949;75902;5066953;41928;124
31/08/2017;1445803;1130120;76538;5095795;42192;141
30/09/2017;1459488;1140174;77133;5143633;42566;185
31/10/2017;1475046;1151437;77995;5209094;43188;197
30/11/2017;1496201;1164967;78949;5343116;44118;320
31/12/2017;1508596;1173034;79579;5395811;44907;241
31/01/2018;1523761;1183114;80291;5452767;45839;70
