Month (in cumulative terms since 1st June 2015);Slideshare views;Vimeo loads;Vimeo plays
Mese  (in termini cumulati dal 1 giugno 2015);Visualizzazioni di slideshare;Visualizzazioni di pagine vimeo (Load) - Impressions;Visioni effettive di video vimeo
30/06/2015;2067;2375;87
31/07/2015;4454;5390;167
31/08/2015;6908;7102;240
30/09/2015;16174;25638;1415
31/10/2015;20171;35418;1837
30/11/2015;42119;62037;3466
31/12/2015;69082;106297;4738
31/01/2016;91991;143671;6942
29/02/2016;120932;192572;9208
31/03/2016;144462;233026;10602
30/04/2016;161270;262953;11338
31/05/2016;168512;273990;11569
30/06/2016;173745;278750;11697
31/07/2016;176934;282142;11777
31/08/2016;179021;284775;11843
30/09/2016;184072;300071;12683
31/10/2016;188815;319348;13645
30/11/2016;203370;359308;16262
31/12/2016;219085;417373;18970
31/01/2017;236638;464146;22465
28/02/2017;237120;467176;23491
31/03/2017;238236;468952;24009
30/04/2017;238778;469727;24187
31/05/2017;239135;472215;24575
30/06/2017;239442;478793;24840
