Month (in cumulative terms since 3th November 2015);Number of news;Open Rate (%);Click Rate (%)
Mese  (in termini cumulati dal 3 novembre 2015);Numero di news;Percentuale di news lette  (%);Percentuale di news che ha condotto a un accesso al portale (%)
30/10/2014;1;62,20;23,17
30/11/2014;8;39,70;10,67
31/12/2014;11;64,36;38,94
31/01/2015;12;35,89;8,97
28/02/2015;12;35,89;8,97
31/03/2015;17;39,04;7,81
30/04/2015;23;34,44;4,36
31/05/2015;26;33,43;4,37
30/06/2015;31;24,85;2,41
31/07/2015;34;32,98;7,37
31/08/2015;39;37,86;9,05
30/09/2015;40;39,07;13,69
31/10/2015;44;33,65;7,67
30/11/2015;46;31,13;5,93
31/12/2015;50;48,46;29,20
31/01/2016;52;35,57;8,94
29/02/2016;53;36,83;14,97
31/03/2016;57;31,33;8,92
30/04/2016;59;27,71;6,75
31/05/2016;64;32,37;12,80
30/06/2016;68;27,44;4,22
31/07/2016;72;26,15;4,49
31/08/2016;72;26,15;4,49
30/09/2016;76;28,56;5,53
31/10/2016;76;28,56;5,53
30/11/2016;78;38,08;17,31
31/12/2016;79;25,5;8,6
31/01/2017;79;25,5;8,6
28/02/2017;80;25,5;7,7
31/03/2017;82;32,11;12,85
30/04/2017;82;32,11;12,85
31/05/2017;85;26,9;6,77
30/06/2017;87;26,85;5,2
31/07/2017;88;26,71;6
31/08/2017;88;26,71;6
30/09/2017;90;27,05;9,3
31/10/2017;91;25,3;5,6
