Obiettivo,Programma operativo,Fondo,Tipo dato,31/12/2010,31/10/2011,31/12/2011,31/05/2012,31/10/2012,31/12/2012,31/05/2013,31/10/2013,31/12/2013,31/12/2014,31/12/2015
Competitività,Por Abruzzo,FESR,Risultato,"9,0","10,6","32,0","32,0","37,9","43,2",,,,,
Competitività,Por Abruzzo,FESR,Target,"8,5","17,3","24,7","32,0","36,3","41,2","47,9","54,7","58,0","75,1","100,0"
Competitività,Por Emilia Romagna,FESR,Risultato,"12,4","20,4","26,5","35,0","41,5","48,9",,,,,
Competitività,Por Emilia Romagna,FESR,Target,"8,5","17,3","24,7","28,0","36,3","41,2","47,9","54,7","58,0","75,1","100,0"
Competitività,Por Friuli Venezia Giulia,FESR,Risultato,"8,7","18,1","26,7","29,5","35,3","40,2",,,,,
Competitività,Por Friuli Venezia Giulia,FESR,Target,"8,0","16,7","23,8","26,7","32,4","38,5","46,1","56,4","57,6","74,9","100,0"
Competitività,Por Lazio,FESR,Risultato,"8,5","23,2","25,3","28,8","36,4","41,6",,,,,
Competitività,Por Lazio,FESR,Target,"8,5","17,3","24,7","28,0","36,3","41,2","47,9","54,7","58,0","75,1","100,0"
Competitività,Por Liguria,FESR,Risultato,"9,0","17,8","25,5","29,1","38,4","42,5",,,,,
Competitività,Por Liguria,FESR,Target,"8,5","17,3","24,7","28,0","36,3","41,2","47,9","54,7","58,0","75,1","100,0"
Competitività,Por Lombardia,FESR,Risultato,"17,0","21,1","28,7","28,7","38,0","43,2",,,,,
Competitività,Por Lombardia,FESR,Target,"8,4","17,3","24,6","28,7","35,1","39,7","47,0","54,3","58,0","75,1","100,0"
Competitività,Por Marche,FESR,Risultato,"18,8","20,6","30,4","30,4","39,0","43,6",,,,,
Competitività,Por Marche,FESR,Target,"8,5","17,3","24,7","30,4","36,3","41,2","47,9","54,7","58,0","75,1","100,0"
Competitività,Por Molise,FESR,Risultato,"9,7","17,5","25,1","27,6","35,7","41,6",,,,,
Competitività,Por Molise,FESR,Target,"8,5","17,3","24,7","27,7","36,0","41,2","47,1","53,8","58,0","75,1","100,0"
Competitività,Por PA Bolzano,FESR,Risultato,"15,3","26,7","29,2","36,5","38,9","43,4",,,,,
Competitività,Por PA Bolzano,FESR,Target,"8,5","17,3","24,7","29,2","36,3","41,2","47,9","54,7","58,0","75,1","100,0"
Competitività,Por PA Trento,FESR,Risultato,"17,3","29,4","33,7","38,4","45,5","48,4",,,,,
Competitività,Por PA Trento,FESR,Target,"8,5","17,3","24,7","33,7","36,3","41,2","47,9","54,7","58,0","75,1","100,0"
Competitività,Por Piemonte,FESR,Risultato,"11,0","18,8","25,7","29,3","36,6","41,6",,,,,
Competitività,Por Piemonte,FESR,Target,"8,5","17,3","24,7","28,0","36,3","41,2","47,9","54,7","58,0","75,1","100,0"
Competitività,Por Toscana,FESR,Risultato,"15,1","18,7","22,7","22,7","34,6","40,1",,,,,
Competitività,Por Toscana,FESR,Target,"2,0","10,8","14,7","22,7","31,2","38,2","44,6","50,9","55,8","75,1","100,0"
Competitività,Por Umbria,FESR,Risultato,"9,8","18,6","26,1","28,8","37,3","42,2",,,,,
Competitività,Por Umbria,FESR,Target,"8,5","17,3","24,7","28,0","36,3","41,2","47,9","54,7","58,0","75,1","100,0"
Competitività,Por VdA,FESR,Risultato,"25,9","25,9","33,3","33,3","41,4","41,6",,,,,
Competitività,Por VdA,FESR,Target,"8,5","17,3","24,7","33,3","36,3","41,2","47,9","54,7","58,0","75,1","100,0"
Competitività,Por Veneto,FESR,Risultato,"19,7","20,6","26,2","29,0","37,6","42,8",,,,,
Competitività,Por Veneto,FESR,Target,"8,5","17,3","24,7","27,8","35,5","40,2","47,3","54,5","58,0","75,1","100,0"
Competitività,Por Sardegna,FESR,Risultato,"18,3","22,8","26,7","35,3","35,3","43,8",,,,,
Competitività,Por Sardegna,FESR,Target,"16,6","22,8","26,4","35,1","37,6","43,3","46,5","50,6","61,0","79,4","100,0"
