Obiettivo,Programma operativo,Fondo,Tipo dato,31/12/2010,31/10/2011,31/12/2011,31/05/2012,31/10/2012,31/12/2012,31/05/2013,31/10/2013,31/12/2013,31/12/2014,31/12/2015
Competitività,Por Abruzzo,FSE,Risultato,"9,6","13,0","25,1","28,4","36,7","41,4 ",,,,,
Competitività,Por Abruzzo,FSE,Target,"8,5","17,3","24,7","27,6","35,8","41,2","47,5","54,2","58,0","75,1","100,0 "
Competitività,Por Emilia R.,FSE,Risultato,"23,7","39,3","45,6","48,0","56,2","59,4 ",,,,,
Competitività,Por Emilia R.,FSE,Target,"8,5","17,3","24,7","41,2","41,2","41,2","47,9","54,7","58,0","75,1","100,0 "
Competitività,Por Friuli VG,FSE,Risultato,"17,1","25,3","27,1","37,9","45,7","49,0 ",,,,,
Competitività,Por Friuli VG,FSE,Target,"8,7","17,7","25,3","28,5","36,7","41,6","48,3","55,0","58,3","75,2","100,0 "
Competitività,Por Lazio,FSE,Risultato,"12,1","18,1","27,4","28,1","36,8","41,3 ",,,,,
Competitività,Por Lazio,FSE,Target,"8,5","17,3","24,7","28,0","36,3","41,2","47,9","54,7","58,0","75,1","100,0 "
Competitività,Por Liguria,FSE,Risultato,"12,9","24,4","24,9","29,9","36,8","42,1 ",,,,,
Competitività,Por Liguria,FSE,Target,"8,5","17,3","24,7","28,0","36,3","41,2","47,9","54,7","58,0","75,1","100,0 "
Competitività,Por Lombardia,FSE,Risultato,"20,8","31,6","36,4","36,4","47,5","51,6 ",,,,,
Competitività,Por Lombardia,FSE,Target,"8,5","17,3","24,7","36,4","36,4","41,3","48,0","54,7","58,1","75,1","100,0 "
Competitività,Por Marche,FSE,Risultato,"12,7","18,1","30,4","33,5","39,5","42,9 ",,,,,
Competitività,Por Marche,FSE,Target,"8,5","17,3","24,7","30,4","36,3","41,2","47,9","54,7","58,0","75,1","100,0 "
Competitività,Por Molise,FSE,Risultato,"16,7","16,7","27,4","30,8","36,0","41,9 ",,,,,
Competitività,Por Molise,FSE,Target,"8,5","17,3","24,7","27,7","35,9","41,2","47,6","54,3","58,0","75,1","100,0 "
Competitività,Por PA Bolzano,FSE,Risultato,"17,7","23,7","26,3","31,5","38,0","41,3 ",,,,,
Competitività,Por PA Bolzano,FSE,Target,"8,5","17,3","24,7","28,0","36,3","41,2","47,9","54,7","58,0","75,1","100,0 "
Competitività,Por PA Trento,FSE,Risultato,"23,5","40,9","40,9","50,9","50,9","59,2 ",,,,,
Competitività,Por PA Trento,FSE,Target,"8,5","17,3","24,7","40,9","40,9","41,2","47,9","54,7","58,0","75,1","100,0 "
Competitività,Por Piemonte,FSE,Risultato,"13,5","21,5","26,6","31,6","40,0","44,6 ",,,,,
Competitività,Por Piemonte,FSE,Target,"8,5","17,3","24,7","28,0","36,3","41,2","47,9","54,7","58,0","75,1","100,0 "
Competitività,Por Toscana,FSE,Risultato,"10,9","24,2","30,6","30,6","43,6","43,6 ",,,,,
Competitività,Por Toscana,FSE,Target,"8,5","17,3","24,7","30,6","36,3","41,2","47,9","54,7","58,0","75,1","100,0 "
Competitività,Por Umbria,FSE,Risultato,"9,8","23,9","25,1","32,0","38,3","43,2 ",,,,,
Competitività,Por Umbria,FSE,Target,"8,5","17,3","24,7","28,0","36,3","41,2","47,9","54,7","58,0","75,1","100,0 "
Competitività,Por VdA,FSE,Risultato,"11,9","19,6","26,3","28,0","35,1","41,4 ",,,,,
Competitività,Por VdA,FSE,Target,"8,5","17,3","24,7","28,0","36,3","41,2","47,9","54,7","58,0","75,1","100,0 "
Competitività,Por Veneto,FSE,Risultato,"14,8","20,6","25,8","36,0","42,6","44,7 ",,,,,
Competitività,Por Veneto,FSE,Target,"8,5","17,3","24,7","28,0","36,3","41,2","47,9","54,7","58,0","75,1","100,0 "
Competitività,Por Sardegna,FSE,Risultato,"17,7","27,6","38,0","40,6","51,0","54,6 ",,,,,
Competitività,Por Sardegna,FSE,Target,"16,6","25,9","37,0","39,4","47,8","53,7","57,9","63,7","66,4","79,4","100,0 "
Competitività,Pon AS,FSE,Risultato,"12,1","26,7","30,2","46,3","52,9","56,0 ",,,,,
Competitività,Pon AS,FSE,Target,"8,5","17,3","20,6","30,2","36,3","41,2","47,9","54,7","58,0","75,1","100,0 "

