Anno;Mese;Mese_NUM;Spesa certificata su dotazione;Pagamenti su dotazione;;Obiettivo comunitario di spesa certificata;pag ammessi;dotazione
2009;g;1;0;2,85964260656571;;;1699019301,20999;59413693771
2009;f;2;;3,08130697888638;;;1830718292,58;59413693771
2009;m;3;;3,53405479543648;;;2099712493,85997;59413693771
2009;a;4;0;3,96758888424922;;;2357291109,78006;59413693771
2009;m;5;0;4,38676994047178;;;2606342058,87018;59413693771
2009;g;6;0,1;4,92960332550443;;;2928859423,94023;59413693771
2009;l;7;0,5;5,35790656489026;;;3183330199,00021;59413693771
2009;a;8;0,6;5,68035326399424;;;3374907693,38054;59413693771
2009;s;9;0,6;6,02114670723723;;;3577385666,14057;59413693771
2009;o;10;1;6,58378300180676;;;3911668671,24062;59413693771
2009;n;11;1,5;7,25300235124272;;;4309276606,17078;59413693771
2009;d;12;6,7;10,0583433341379;;;5976033306,98048;59413693771
2010;g;1;;10,4444375336404;;;6205426132,34049;59413693771
2010;f;2;6,8;10,9392483389794;;;6499411508,97041;59413693771
2010;m;3;7;11,52445523815;;;6847104543,97039;59413693771
2010;a;4;7;12,0565207998166;;;7163224347,43997;59413693771
2010;m;5;7;12,516415187604;;;7436464590,66996;59413693771
2010;g;6;7,2;13,0261357252584;;;7739308389,99988;59413693771
2010;l;7;7,4;13,6224451033213;;;8093597817,80988;59413693771
2010;a;8;7,4;14,0209007285892;;;8330335022,81987;59413693771
2010;s;9;7,4;14,5177817288646;;;8625550378,72983;59413693771
2010;o;10;7,6;15,1294596571226;;;8988970829,88983;59413693771
2010;n;11;8,1;15,8642310611222;;;9425525661,77901;59413693771
2010;d;12;10,4;17,2777928384919;;7,4;10265374927,4493;59413693771
2011;g;1;;17,6495001444383;;;10486219967,9288;59413693771
2011;f;2;10,5;18,208767173299;;;10818501167,8182;59413693771
2011;m;3;10,6;18,7631810314228;;;11147898919,7079;59413693771
2011;a;4;10,7;19,5169438851449;;;11595737273,3779;59413693771
2011;m;5;11;20,069268286982;;;11923893602,1079;59413693771
2011;g;6;11,6;20,6854795431797;;;12290007470,8476;59413693771
2011;l;7;12;21,3891651846437;;;12708093102,9776;59413693771
2011;a;8;12,2;21,956085023289;;;13044921119,8373;59413693771
2011;s;9;12,2;22,6923350934256;;;13482354481,8971;59413693771
2011;o;10;15,2;24,0584373495454;;;14294006292,9468;59413693771
2011;n;11;15,6;25,2275829165721;;;14988638859,8772;59413693771
2011;d;12;21,2;28,7708928615855;;18,8;17089554439,9573;59398762917
2012;g;1;;29,2735037664751;;;17388099099,7476;59398762917
2012;f;2;21,3;30,001493230508;;;17820515835,5493;59398762917
2012;m;3;21,3;30,8201415290233;;;18306782797,5084;59398762917
2012;a;4;21,5;31,4406411016246;;;18675351867,5388;59398762917
2012;m;5;24,9;35,1937025892765;;;19142827211,0993;54392762917
2012;g;6;25,1;36,19063306995;;;19685085243,8993;54392762917
2012;l;7;25,8;37,0149573619596;;;20133458001,7193;54392762917
2012;a;8;25,8;37,7029647187847;;;20507684212,1687;54392762917
2012;s;9;26,1;38,4577923490847;;;20918255815,5498;54392762917
2012;o;10;29,3;39,6956614744031;;;21585034806,5609;54376307145
2012;n;11;29,5;41,190900092007;;;22398090349,8198;54376307145
2012;d;12;36,7;47,1685516475784;;31,5;23345364497,9715;49493494463
2013;g;1;36,8;47,7046913455142;;;23610718769,6833;49493494463
2013;f;2;36,8;48,3270749224533;;;23918758150,8743;49493494463
2013;m;3;36,9;49,1187247746447;;;24310573326,635;49493494463
2013;a;4;37,1;49,97962592069;;;24736663387,6848;49493494463
2013;m;5;39,7;51,1606394503958;;;25323992584,6748;49498975886
2013;g;6;39,8;52,0023026231443;;;25740607235,595;49498975886
2013;l;7;40,2;53,0914184124312;;;26279708397,5047;49498975886
2013;a;8;40,3;53,9658741211456;;;26712555017,895;49498975886
2013;s;9;41;55,6139769115535;;;27528349020,6955;49498975886
2013;o;10;47,1;59,3724510809757;;;28314122431,8974;47688990291,61
2013;n;11;47,2;60,791803619094;;;28990997326,0044;47688990291,61
2013;d;12;52,1;63,4444585219696;;48,5;30293088644,8654;47747414590
2014;g;1;;63,9406958067203;;;30530029118,5655;47747414590
2014;f;2;52,2;64,4643619869459;;;30780066180,7054;47747414590
2014;m;3;52,3;65,2645316183707;;;31162126492,0451;47747414590
2014;a;4;52,4;66,2030422960038;;;31610241076,266;47747414590
2014;m;5;55,3;67,0564689841094;;;31982693739,7255;47695165320
2014;g;6;55,6;67,7781023763646;;;32326877979,1659;47695165320
2014;l;7;56,7;68,948679506674;;;32885186676,6651;47695165320
2014;a;8;56,9;69,5872654796905;;;33189761312,2057;47695165320
2014;s;9;57;70,4490358950413;;;33600784136,4861;47695165320
2014;o;10;61,3;73,6729185355502;;;34466004631,2067;46782461339
2014;n;11;62,3;74,8184306936731;;;35001903413,7141;46782461339
2014;d;12;69,3;78,4706163717384;;66,7;36624286118,5828;46672611752
2015;g;1;;78,8580557913179;;;36805114214,6574;46672611752
2015;f;2;69,4;79,6124842521873;;;37157225681,1455;46672611752
2015;m;3;69,8;80,8752328304765;;;37746583422,4943;46672611752
2015;a;4;70;81,7564255092032;;;38157859060,2235;46672611752
2015;m;5;71,4;83,1269074574714;;;38774405158,2436;46644830590
2015;g;6;72,6;84,0356485276764;;;39198285890,9425;46644830590
2015;l;7;73,1;84,9608733398594;;;39629855437,1619;46644830590
2015;a;8;73,2;85,753417714259;;;39999536417,9512;46644830590
2015;s;9;73,3;86,7379559472644;;;40458772608,8303;46644830590
2015;o;10;75,6;89,231304158511;;;41150607660,855;46116783845
2015;n;11;77,4;91,0746914151498;;;42000718577,4254;46116783845
2015;d;12;80,5;99,0211728767743;;;45333188808,3214;45781308675
2016;g;1;80,5;;;;;
2016;f;2;80,9;;;;;
2016;m;3;81,4;;;;;
2016;a;4;82,2;;;;;
2016;m;5;83,5;;;;;
2016;g;6;85,2;;;;;
2016;l;7;88,6;;;;;
2016;a;8;;;;;;
2016;s;9;;;;;;
2016;o;10;;;;;;
2016;n;11;;;;;;
2016;d;12;;;;;;
2017;g;1;;;;;;
2017;f;2;;;;;;
2017;m;3;;;;100;;
