Regione,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Piemonte,,,,,,,,51467456301.0,85818460102.0,85818460102.0,63375751797.0,62289242853.0,57829044904.0,54073503117.0,,,
Valle d'Aosta/Vallée d'Aoste,,,,,,,,19704342923.0,19796276094.0,20010786825.0,20010786825.0,20010786825.0,20010786825.0,20010786825.0,,,
Lombardia,,,,,,,,45883131904.0,47299562499.0,47299562499.0,5927636321.0,58580719781.0,60244397137.0,63684898671.0,,,
Trentino-Alto Adige,,,,,,,,37179884793.0,36900613075.0,36900613075.0,32770331349.0,32770331349.0,32983459765.0,3794420739.0,,,
Veneto,,,,,,,,4322009256.0,52155433628.0,52155433628.0,58009060349.0,55334980175.0,57101394924.0,56117637787.0,,,
Friuli-Venezia Giulia,,,,,,,,42858651709.0,42298740582.0,42298740582.0,4308770626.0,4308770626.0,30489705907.0,43049530502.0,,,
Liguria,,,,,,,,86063948502.0,68043271758.0,68043271758.0,80770259428.0,90638286099.0,90878069925.0,89586926248.0,,,
Emilia-Romagna,,,,,,,,4680942645.0,46574316803.0,46574316803.0,57525000746.0,58854274519.0,58768369072.0,56435357959.0,,,
Toscana,,,,,,,,40228742806.0,4708285077.0,4708285077.0,59477652607.0,59477652607.0,58277313903.0,58551304259.0,,,
Umbria,,,,,,,,46629391536.0,49987937616.0,49987937616.0,60075401725.0,60075401725.0,60240963855.0,60690346782.0,,,
Marche,,,,,,,,68805020807.0,6764967413.0,6764967413.0,65607186256.0,65607186256.0,66184859594.0,6571034221.0,,,
Lazio,,,,,,,,44175059483.0,54856210588.0,54856210588.0,49768014217.0,49768014217.0,63454508217.0,63054182619.0,,,
Abruzzo,,,,,,,,54112765279.0,65847727942.0,65847727942.0,65959224024.0,65949932684.0,71283161955.0,80332927302.0,,,
Molise,,,,,,,,55479439707.0,63028429269.0,63028429269.0,684141263.0,684141263.0,73867426223.0,73867426223.0,,,
Campania,,,,,,,,68431462579.0,71337960183.0,71337960183.0,6744546086.0,74538786659.0,80278199649.0,81227410259.0,,,
Puglia,,,,,,,,55383073577.0,58239788407.0,58239788407.0,48150884135.0,48145718286.0,60714230366.0,60688401118.0,,,
Basilicata,,,,,,,,46114855907.0,48286026168.0,48286026168.0,58951775007.0,58951775007.0,589617804.0,59071839722.0,,,
Calabria,,,,,,,,50449088395.0,65249609596.0,65249609596.0,62723176542.0,62723176542.0,62895584047.0,62756331831.0,,,
Sicilia,,,,,,,,6242367199.0,60817380617.0,70373453021.0,64041631339.0,64041631339.0,67009186586.0,6579182775.0,,,
Sardegna,,,,,,,,35919632676.0,35159977899.0,35159977899.0,34196918292.0,34196918292.0,35072804401.0,35085257758.0,,,
Italia,,,,,,,,20316922023.0,2271887691.0,23055380028.0,2306466664.0,23181705265.0,23974481483.0,24182883982.0,,,
