Regione,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Piemonte,33.5460404185,31.4539106557,30.6320765972,29.7046562255,27.8760444161,30.1715822872,30.0277743083,28.3261737753,27.6665645177,27.5839053553,27.5409091238,28.9694215417,29.8018797965,29.9611747449,24.4456048256,,
Valle d'Aosta/Vallée d'Aoste,14.067468323,10.0030996439,8.28714845183,9.44483636491,9.24072073971,12.4249682759,11.6631025239,10.4731878119,10.8590829306,12.3434423069,12.6107851008,14.5267349937,20.8066247761,16.6073524207,10.9013001258,,
Lombardia,29.8916442163,28.3699800482,28.150216521,27.7735667711,26.9752151669,29.7327106946,30.2166940926,27.9761937077,27.1942923183,27.36102424,28.6677851658,30.3063256053,31.8171886515,32.1328755941,26.4571315246,,
Trentino-Alto Adige,18.7874382187,16.2860499885,16.3057001948,16.2964538293,16.407794708,17.3081537709,17.1523561211,16.8099177406,17.0257650846,17.1757328878,17.5526031446,18.3765542212,19.0633212238,18.3730578676,15.3899398972,,
Veneto,30.6810259744,30.1745588296,30.1313447298,30.2990856165,30.9003699294,33.3711584964,33.8893636193,33.4783430904,30.8161688457,30.7476267188,30.2932009622,33.2521986433,34.8052098325,33.918272273,27.7251659804,,
Friuli-Venezia Giulia,29.6852151711,28.9571097509,29.3309322958,33.3942903059,29.9600730334,32.789908364,32.1928890613,30.3713935164,27.4013780987,31.4683898987,29.638376404,32.5984865332,34.8771161598,36.8021902977,30.8171727995,,
Liguria,11.6299145974,11.2107361228,11.1463500894,9.27440703345,8.88594088876,10.3255285734,11.3744801318,10.1068021853,9.83710060908,9.3132653769,10.6698880209,10.2720443713,10.9525136052,11.7848633366,13.2040116032,,
Emilia-Romagna,26.3687074075,25.8283304962,26.4279954082,26.9896042225,26.3694486391,28.1514511992,28.4485844767,28.0488845496,27.2428598078,28.5776705934,30.0625453692,31.7075716371,33.9608134084,34.4185293325,27.4194969947,,
Toscana,25.413002836,25.1736307451,25.3656471909,24.4215157637,23.5023905966,27.0145269005,26.7186474467,24.8639123396,22.7750616764,23.2568544195,22.7040438813,24.5408722573,25.5107354735,23.8000081505,22.1130082097,,
Umbria,13.9262847985,13.1284959388,13.0246361192,12.8545974021,12.462413842,13.9142935717,13.4115974724,14.0021209466,13.2493236061,13.729901971,14.4005553004,15.7189629144,16.8558312484,15.547993751,12.4927156156,,
Marche,23.9179748897,23.254047105,24.9319428447,24.9813197186,22.205647626,24.6224878638,25.9481765419,25.161512916,25.3853035046,24.7716812557,25.6067258639,29.40195254,30.4346929925,25.6272017207,19.8060515616,,
Lazio,6.56512319668,6.98306323091,7.46269214707,7.77286426736,8.24091685043,9.66642974999,8.58310823562,8.61792934407,7.51226574213,7.40467335804,7.15456062208,7.65816498172,8.04594234997,8.44534043932,7.07272888071,,
Abruzzo,19.406944458,18.2435682473,19.698912285,20.8578978231,18.4532137777,22.510990505,22.7776233305,22.4094796372,21.6390887234,24.2964662008,24.1437201744,23.9464062263,25.7417850736,26.3808757163,18.8746033754,,
Molise,9.72531661588,10.0546039297,10.9223385974,10.596117421,10.3508853174,10.0561280127,10.4367136129,10.4236729387,9.78264968851,9.60889678286,10.6322781198,10.0784371156,9.84063474617,9.84140247338,6.46224904362,,
Campania,8.37790659493,8.14583207833,8.48428386017,9.5227099397,9.18050996626,10.3221425099,10.5494926277,9.51387350935,8.11617113112,8.08361430013,8.26239468094,8.85078929028,9.62890563169,9.61414110111,8.32727835007,,
Puglia,10.4938267046,9.410804097,9.64366273398,9.86053242058,9.60506198552,10.6353827952,10.6754987903,9.70411268174,9.31034499706,10.0781732621,10.4535502066,10.1157336979,10.3186291473,10.539320465,8.41814446982,,
Basilicata,6.05158290761,5.93298375773,5.0349674592,11.5049043498,13.0611376204,12.3899500928,13.0737944901,16.1982530877,15.9721176111,12.7084830311,10.9325650046,16.1140376687,19.0010277887,17.4143862616,13.8786057069,,
Calabria,0.876832261709,1.02654403956,0.908682728999,0.997085285181,0.912654680051,1.18821562373,1.07026661175,1.01791929052,1.07125122583,1.12699740052,1.00628452885,0.997659471949,1.26955403732,1.15591051098,0.964788954301,,
Sicilia,5.15381569455,4.96458780473,5.69837509881,5.703100203,5.49206973799,8.21426635825,7.53261922408,6.81314861136,6.81661490364,7.16167801358,8.9891279968,9.47315542506,11.1955899322,11.4859539369,7.25651986939,,
Sardegna,6.77819767556,6.38742465225,7.37776822082,6.16568677395,6.30874519397,9.40277754196,8.27726273258,7.57286544678,8.35180528495,9.21855767352,12.1158517795,13.3126784044,13.9289111742,17.038198103,9.80407379242,,
Italia,20.7803502547,20.0086564594,20.1471817825,20.1570537963,19.6005194599,21.8530753245,21.8572537922,20.7680819234,19.8161433511,20.4388931588,20.9105678538,22.3520934887,23.5900436254,23.5363582677,19.1819758192,,
