ID,Titolo,Sottotitolo
198,Adulti che partecipano all'apprendimento permanente (femmine),Percentuale della popolazione 25-64 anni che frequenta un corso di studio o di formazione professionale
110,Studenti con scarse competenze in matematica,Percentuale di 15-enni con un livello basso di competenza (al massimo primo livello) nell'area della matematica
112,Studenti con elevate competenze in matematica,Percentuale di 15-enni con un livello elevato di competenza (almeno il quarto livello) nell'area della matematica
077,Livello di istruzione della popolazione 15-19 anni,Quota della popolazione di 15-19 anni in possesso almeno della licenza media inferiore (%)
189,Livello di istruzione della popolazione 15-19 anni (maschi),Quota della popolazione di 15-19 anni in possesso almeno della licenza media inferiore (%)
191,Tasso di partecipazione nell'istruzione secondaria superiore (maschi),Tasso di partecipazione lordo nell'istruzione secondaria superiore (%)
190,Livello di istruzione della popolazione 15-19 anni (femmine),Quota della popolazione di 15-19 anni in possesso almeno della licenza media inferiore (%)
200,Giovani che abbandonano prematuramente gli studi (femmine),Popolazione 18-24 anni con al più la licenza media e che non frequenta altri corsi scolastici o svolge attività formative superiori ai 2 anni (%)
099,Adulti che partecipano all'apprendimento permanente,Percentuale della popolazione 25-64 anni che frequenta un corso di studio o di formazione professionale
192,Tasso di partecipazione nell'istruzione secondaria superiore (femmine),Tasso di partecipazione lordo nell'istruzione secondaria superiore (%)
111,Studenti con elevate competenze in lettura,Percentuale di 15-enni con un livello elevato di competenza (almeno il quarto livello) nell'area della lettura
197,Adulti che partecipano all'apprendimento permanente (maschi),Percentuale della popolazione 25-64 anni che frequenta un corso di studio o di formazione professionale
199,Giovani che abbandonano prematuramente gli studi (maschi),Popolazione 18-24 anni con al più la licenza media e che non frequenta altri corsi scolastici o svolge attività formative superiori ai 2 anni (%)
087,Tasso di abbandono alla fine del primo anno delle scuole secondarie superiori,Abbandoni sul totale degli iscritti al primo anno delle scuole secondarie superiori  (%)
254,Tasso di abbandono alla fine del primo biennio delle scuole secondarie superiori,Abbandoni sul totale degli iscritti al primo biennio delle scuole secondarie superiori (%)
248,Tasso di partecipazione nell'istruzione secondaria superiore,
102,Giovani che abbandonano prematuramente gli studi,Popolazione 18-24 anni con al più la licenza media e che non frequenta altri corsi scolastici o svolge attività formative superiori ai 2 anni (%)
101,Tasso di scolarizzazione superiore,Percentuale della popolazione in età 20-24 anni che ha conseguito almeno il diploma di scuola secondaria superiore
089,Tasso di abbandono alla fine del secondo anno delle scuole secondarie superiori,Abbandoni sul totale degli iscritti al secondo anno delle scuole secondarie superiori (%)
104,Livello di istruzione della popolazione adulta,Percentuale della popolazione in età 25-64 anni che ha conseguito al più un livello di istruzione secondario inferiore
106,Studenti con scarse competenze in lettura,Percentuale di 15-enni con un livello basso di competenza (al massimo primo livello) nell'area della lettura
