Regione,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Piemonte,1.57973293357,1.90761095762,1.89225472072,1.92014257253,1.73191584104,1.91676349562,2.06324938054,2.03499668665,2.10408667879,2.17256990877,2.35454378248,2.54488432481,2.35710765729,2.61683116861,2.61157379245,2.77754373922,
Valle d'Aosta/Vallée d'Aoste,30.1725918731,30.0179921418,28.6572383886,28.77351516,27.005359842,26.8742819712,27.254121322,27.4829801834,28.7815055835,26.1176523429,25.8351198723,25.7865991398,24.7742861586,24.6071039029,24.5864253465,24.2707968887,
Lombardia,2.56451547506,2.57208886823,2.56638288342,2.56097918769,2.66243880526,2.54125948152,2.7241896771,2.82278253625,2.82989812122,2.84048369819,2.80841161368,2.8413086771,2.98611084401,2.92013260506,3.01058648563,3.15306837732,
Trentino-Alto Adige,38.4498773721,37.7976857344,39.3393315015,39.4970997097,39.3613647936,39.520472585,40.8860151271,41.0779694574,41.3710769546,40.8316891894,41.4862800748,41.4069988802,41.9550652607,42.0276960044,42.3102431608,42.3743583487,
Veneto,9.55096175032,9.65499785529,9.45085848067,9.63617317668,9.82076727093,12.2021354015,12.7835963942,12.1669458038,11.9544676766,11.6793577634,12.0202848766,12.4810584505,12.8107957469,12.4733014005,12.3381264272,12.3489356458,
Friuli-Venezia Giulia,7.09111395729,6.8336588024,6.44193718374,6.6528169744,6.8145039056,7.80760400743,8.09419914489,7.75160313423,7.41758366373,7.13186330712,6.95507742242,7.0082895476,7.17472685131,7.23924815236,7.16730161885,7.01723802861,
Liguria,9.60936763252,9.47285223071,9.69741953097,9.88896745251,9.97828508826,9.76984640259,9.68723297095,9.62354477005,9.37850207212,8.96851551037,8.6390240201,8.8329844637,8.80769804519,8.76341923404,8.63678618406,8.50924623868,
Emilia-Romagna,8.86282719745,8.63865813726,8.27308938615,8.56364647196,8.83381598379,9.20217510748,9.40953946769,9.23915991848,9.03036889915,8.81646794256,8.69391501975,8.90974662283,8.98321439085,8.90698219516,8.74529435231,8.53532854825,
Toscana,8.74303425997,9.04373052265,9.00169265424,9.37805833154,10.0452861451,10.6778359801,10.8953962293,10.8412541931,10.4025479052,9.89761764517,10.5584784226,11.282167757,11.3996893343,11.1747338408,11.0168433552,11.2385801284,
Umbria,5.41495512088,5.56805881765,5.36884565075,4.50119012917,4.78552229275,6.70644283177,7.13730691603,7.16149905505,6.88994383652,6.74158035338,6.74180109519,7.05094709753,7.11510358668,6.75934180107,6.22177567615,6.22674898577,
Marche,7.47653580352,7.77423749687,7.89165786761,7.85480745551,8.23122431369,8.49563762306,9.00116279109,8.93155111912,8.99795278562,8.50201497748,8.20156654982,8.51505575862,8.79499773563,7.3517013323,6.83972874163,6.90746070727,
Lazio,3.80303415799,3.93151013077,4.09890605204,4.23093702943,4.29404859843,5.83018602789,5.6749692356,4.86016654195,4.64782748317,5.36404912559,5.99724154235,5.95776195892,5.80905536973,5.66265640912,5.38898135557,5.38037830935,
Abruzzo,4.25838839938,4.42230128881,4.45471288977,4.79932307978,4.66065732853,4.97887913024,5.28297695547,5.4076704988,5.56049594011,5.36384173098,5.33768413245,5.6973481743,5.60003857568,5.68742924072,4.97755400732,5.45037788148,
Molise,1.3217546881,1.4132404862,1.52721946257,1.68666120811,1.71421372214,1.98540617312,2.17876264731,2.23545861821,2.39390488281,2.34588363241,2.32649410447,2.31687366708,2.03513430861,2.05477274392,1.87988593251,1.74761331854,
Campania,3.02643014076,3.1691599066,3.24711241731,3.36543993055,3.35586025855,3.62334718093,3.67457491223,3.55721106583,3.43198573569,3.44738586338,3.30416484059,3.30639689646,3.40897483161,3.2212352138,3.08352598434,3.18336767387,
Puglia,1.83045888106,1.83372717434,1.75006515076,1.76319809722,1.92017121999,2.14700107417,2.31291269688,2.55131618159,2.65411142813,2.56381495635,2.66098110676,2.53538641512,2.81881121941,2.98749523065,3.06469769911,3.17615170782,
Basilicata,1.46773215527,1.75421472353,1.86752714199,1.97328795328,1.9804082012,2.43360380796,2.8246579417,2.84376394658,2.95126153753,3.2208193065,3.28374342366,2.94186721376,3.14087414862,3.15228477948,3.20262827687,3.21338732876,
Calabria,2.20199361471,2.37622319925,2.39332189813,2.61911594323,3.07310822451,3.10476634338,2.96628913363,3.37813027833,3.64981623548,3.83096180029,3.90606283556,4.07501323559,4.35939106671,4.2293124019,4.20838523469,4.05263576777,
Sicilia,1.8714530609,2.01003040903,2.05432608405,2.22499230065,2.39257372388,2.68967069992,2.76161125339,2.64588566093,2.63696021387,2.66585060036,2.73598807134,2.90500657111,2.9068991287,2.76897818144,2.73100374762,2.67559897556,
Sardegna,4.4855433412,4.57679071136,4.92642976032,5.08995849492,5.55707701031,5.79030660051,6.24288455379,6.27924121443,6.33027355151,6.25748857932,6.17316240986,6.3532783127,7.12842053978,7.36909169704,7.36398013403,7.2721577291,
Italia,5.03999133422,5.1243205879,5.13753584822,5.26314397815,5.4169831774,5.95139791804,6.14847743441,6.04028548811,5.9789144133,5.94094345178,6.06164641338,6.22252206378,6.34340919455,6.24524659214,6.1595906035,6.20901953412,
